,train_loss
99,0.6780470013618469
100,0.5762850046157837
101,0.5899677872657776
102,0.7269567251205444
103,0.603706419467926
104,0.7685324549674988
105,0.72977614402771
106,0.5773172974586487
107,0.6162272691726685
108,0.5175442099571228
109,0.5680163502693176
110,0.5309607982635498
111,0.6410397291183472
112,0.7091734409332275
113,0.6966833472251892
114,0.39620229601860046
115,0.6561443209648132
116,0.5527427792549133
117,0.5629279613494873
118,0.6201232075691223
119,0.49003785848617554
120,0.5529043674468994
121,0.5620151162147522
122,0.5444632172584534
123,0.5418462157249451
124,0.5516433119773865
125,0.5455263257026672
126,0.61708664894104
127,0.5207131505012512
128,0.5655533671379089
129,0.4142984449863434
130,0.5260924696922302
131,0.567872166633606
132,0.6000874638557434
133,0.615948498249054
134,0.5551331639289856
135,0.5395141839981079
136,0.6479946374893188
137,0.5965551137924194
138,0.4991128444671631
139,0.482631117105484
140,0.5671836137771606
141,0.5313612222671509
142,0.509564995765686
143,0.38547587394714355
144,0.38779306411743164
145,0.4593832194805145
146,0.6109766960144043
147,0.4815191626548767
148,0.4860520362854004
149,0.3658653199672699
150,0.4513944685459137
151,0.4453221261501312
152,0.4173771142959595
153,0.40119093656539917
154,0.49524539709091187
155,0.4013957977294922
156,0.47801119089126587
157,0.42172771692276
158,0.49308544397354126
159,0.45133018493652344
160,0.4183361530303955
161,0.3645601272583008
162,0.46013695001602173
163,0.4104262590408325
164,0.4368235766887665
165,0.4871852695941925
166,0.5446640253067017
167,0.3692684471607208
168,0.33614906668663025
169,0.34278061985969543
170,0.4705621898174286
171,0.43243807554244995
172,0.37501832842826843
173,0.6253293752670288
174,0.413258820772171
175,0.4011251926422119
176,0.3988121449947357
177,0.366727352142334
178,0.2850620150566101
179,0.45382019877433777
180,0.4424586296081543
181,0.4027775526046753
182,0.38743171095848083
183,0.422128826379776
184,0.3588573932647705
185,0.40400511026382446
186,0.5040161609649658
187,0.44599980115890503
188,0.40260928869247437
189,0.40904808044433594
190,0.40388789772987366
191,0.29025670886039734
192,0.512460470199585
193,0.4810558557510376
194,0.340197890996933
195,0.4000088572502136
196,0.3578517436981201
197,0.40647271275520325
198,0.314529687166214
199,0.29485592246055603
200,0.3161242604255676
201,0.36075085401535034
202,0.35911431908607483
203,0.4244636595249176
204,0.4051037132740021
205,0.22419948875904083
206,0.2630501389503479
207,0.4055670201778412
208,0.34589359164237976
209,0.25366851687431335
210,0.40077999234199524
211,0.2680816352367401
212,0.44345545768737793
213,0.3458905518054962
214,0.29785680770874023
215,0.2775948643684387
216,0.4283781945705414
217,0.3331756293773651
218,0.41101735830307007
219,0.30484431982040405
220,0.32515811920166016
221,0.3571540117263794
222,0.24712036550045013
223,0.452105313539505
224,0.35558879375457764
225,0.33485227823257446
226,0.25254392623901367
227,0.2529919445514679
228,0.41842085123062134
229,0.3484058976173401
230,0.27198392152786255
231,0.3354252278804779
232,0.3178060054779053
233,0.30672577023506165
234,0.27459123730659485
235,0.30030983686447144
236,0.3114912509918213
237,0.2788296639919281
238,0.3607231378555298
239,0.2273554652929306
240,0.38830995559692383
241,0.43454116582870483
242,0.33781689405441284
243,0.3162330090999603
244,0.27105486392974854
245,0.30542290210723877
246,0.23161552846431732
247,0.39441588521003723
248,0.34046000242233276
249,0.30001890659332275
250,0.25334909558296204
251,0.24324440956115723
252,0.35115954279899597
253,0.3556478023529053
254,0.24971963465213776
255,0.3115760087966919
256,0.32510924339294434
257,0.3502874970436096
258,0.2651739716529846
259,0.20763210952281952
260,0.3954054117202759
261,0.2747761905193329
262,0.27497249841690063
263,0.2791528105735779
264,0.32418930530548096
265,0.26063072681427
266,0.27040502429008484
267,0.3403114676475525
268,0.29374486207962036
269,0.2672186493873596
270,0.28876614570617676
271,0.2826771140098572
272,0.22422359883785248
273,0.25089648365974426
274,0.37052029371261597
275,0.26574745774269104
276,0.28636476397514343
277,0.22296029329299927
278,0.20648010075092316
279,0.253487765789032
280,0.2619260847568512
281,0.3287804424762726
282,0.28232091665267944
283,0.248148113489151
284,0.3095747232437134
285,0.2771766781806946
286,0.1648457646369934
287,0.28690823912620544
288,0.28050029277801514
289,0.27665087580680847
290,0.30055737495422363
291,0.34685561060905457
292,0.326140433549881
293,0.17066919803619385
294,0.379999577999115
295,0.2416856437921524
296,0.17298541963100433
297,0.2627342641353607
298,0.2538161873817444
299,0.2356261909008026
300,0.3160509169101715
301,0.2552867829799652
302,0.14794155955314636
303,0.36946582794189453
304,0.2695258855819702
305,0.19918102025985718
306,0.26444706320762634
307,0.2725871801376343
308,0.2975904941558838
309,0.26657578349113464
310,0.21646355092525482
311,0.1617189347743988
312,0.24474895000457764
313,0.30383649468421936
314,0.26305925846099854
315,0.3535499572753906
316,0.19844354689121246
317,0.2431047260761261
318,0.21277742087841034
319,0.29976725578308105
320,0.29165762662887573
321,0.1765633225440979
322,0.29722246527671814
323,0.2149210125207901
324,0.1888154298067093
325,0.19988305866718292
326,0.19575738906860352
327,0.255424827337265
328,0.2748558223247528
329,0.19517961144447327
330,0.17160755395889282
331,0.21802450716495514
332,0.25793224573135376
333,0.15553556382656097
334,0.30119800567626953
335,0.2516349256038666
336,0.2140386402606964
337,0.22657327353954315
338,0.1661352813243866
339,0.31646043062210083
340,0.15510804951190948
341,0.3359993100166321
342,0.2937857210636139
343,0.2157803326845169
344,0.18029837310314178
345,0.20057879388332367
346,0.29481959342956543
347,0.3133673667907715
348,0.23958002030849457
349,0.3328264653682709
350,0.2506375014781952
351,0.16987158358097076
352,0.21379975974559784
353,0.2451854795217514
354,0.18390719592571259
355,0.23629578948020935
356,0.2584800124168396
357,0.18589651584625244
358,0.30649158358573914
359,0.32896706461906433
360,0.33279016613960266
361,0.24396046996116638
362,0.1594640612602234
363,0.19464847445487976
364,0.26208192110061646
365,0.23744653165340424
366,0.22892707586288452
367,0.1823706179857254
368,0.19295653700828552
369,0.24861417710781097
370,0.23351724445819855
371,0.27672672271728516
372,0.2600349187850952
373,0.22446897625923157
374,0.23040688037872314
375,0.15281769633293152
376,0.2501431703567505
377,0.20994049310684204
378,0.17832012474536896
379,0.17693868279457092
380,0.24105548858642578
381,0.18985188007354736
382,0.2224874347448349
383,0.1732468456029892
384,0.143155038356781
385,0.2143825739622116
386,0.2121121883392334
387,0.2296750396490097
388,0.22098098695278168
389,0.14083628356456757
390,0.16906212270259857
391,0.16396936774253845
392,0.16709297895431519
393,0.15107174217700958
394,0.2155202031135559
395,0.23557712137699127
396,0.2766284644603729
397,0.19447137415409088
398,0.1933474987745285
399,0.20080499351024628
400,0.2827874720096588
401,0.2404649406671524
402,0.16914847493171692
403,0.25273996591567993
404,0.17869789898395538
405,0.19739308953285217
406,0.1971200704574585
407,0.23984384536743164
408,0.1879788488149643
409,0.18096904456615448
410,0.16427412629127502
411,0.201989084482193
412,0.23517504334449768
413,0.14402087032794952
414,0.14608082175254822
415,0.1975928097963333
416,0.18930353224277496
417,0.27419033646583557
418,0.1171567291021347
419,0.16533230245113373
420,0.2024797946214676
421,0.2134646475315094
422,0.15356463193893433
423,0.2002253234386444
424,0.15721432864665985
425,0.14012375473976135
426,0.28207749128341675
427,0.23095154762268066
428,0.18175943195819855
429,0.24342121183872223
430,0.18333400785923004
431,0.1688218116760254
432,0.16297996044158936
433,0.22038531303405762
434,0.18501433730125427
435,0.1833593100309372
436,0.18911297619342804
437,0.21791015565395355
438,0.13893838226795197
439,0.18309900164604187
440,0.16198818385601044
441,0.20889563858509064
442,0.2273307889699936
443,0.11042442917823792
444,0.18385319411754608
445,0.19139504432678223
446,0.18391981720924377
447,0.17820069193840027
448,0.19437728822231293
449,0.15636508166790009
450,0.25826776027679443
451,0.1179862916469574
452,0.2729913294315338
453,0.17222745716571808
454,0.18487322330474854
455,0.12821024656295776
456,0.14270742237567902
457,0.19270025193691254
458,0.2673724591732025
459,0.20733486115932465
